solver,instance,category,num_cities,TourLength,OptimalityGap(%),EdgeMatchRate(%),Runtime(s),Memory(B)
NearestNeighbor,Grid_94,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006550990001414903,2952
NearestNeighbor,Grid_95,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0007224980008686543,2952
NearestNeighbor,Grid_95,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006387179992088932,2952
NearestNeighbor,Grid_95,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006479659996330156,2952
NearestNeighbor,Grid_95,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006345089996102615,2952
NearestNeighbor,Grid_95,Grid,36,4000.0,11.11111111111111,83.78378378378379,0.0006482459994003875,2952
NearestNeighbor,Grid_96,Grid,64,7000.0,9.375,87.6923076923077,0.002987886000482831,3144
NearestNeighbor,Grid_96,Grid,64,7000.0,9.375,87.6923076923077,0.0019598260005295742,3144
NearestNeighbor,Grid_96,Grid,64,7000.0,9.375,87.6923076923077,0.0021254719995340565,3144
NearestNeighbor,Grid_96,Grid,64,7000.0,9.375,87.6923076923077,0.0019259520004197839,3144
NearestNeighbor,Grid_96,Grid,64,7000.0,9.375,87.6923076923077,0.001945498999702977,3144
NearestNeighbor,Grid_97,Grid,64,7000.0,9.375,87.6923076923077,0.0032255599999189144,3144
NearestNeighbor,Grid_97,Grid,64,7000.0,9.375,87.6923076923077,0.0019253410000601434,3144
NearestNeighbor,Grid_97,Grid,64,7000.0,9.375,87.6923076923077,0.0024226989999078796,3144
NearestNeighbor,Grid_97,Grid,64,7000.0,9.375,87.6923076923077,0.0019395480003367993,3144
NearestNeighbor,Grid_97,Grid,64,7000.0,9.375,87.6923076923077,0.0019248200005677063,3144
NearestNeighbor,Grid_98,Grid,64,7000.0,9.375,87.6923076923077,0.0019479140000839834,3144
NearestNeighbor,Grid_98,Grid,64,7000.0,9.375,87.6923076923077,0.002689386999918497,3144
NearestNeighbor,Grid_98,Grid,64,7000.0,9.375,87.6923076923077,0.002740865000305348,3144
NearestNeighbor,Grid_98,Grid,64,7000.0,9.375,87.6923076923077,0.002835295999830123,3144
NearestNeighbor,Grid_98,Grid,64,7000.0,9.375,87.6923076923077,0.00202999999964959,3144
NearestNeighbor,Grid_99,Grid,64,7000.0,9.375,87.6923076923077,0.0023435690000042086,3144
NearestNeighbor,Grid_99,Grid,64,7000.0,9.375,87.6923076923077,0.001905373000226973,3144
NearestNeighbor,Grid_99,Grid,64,7000.0,9.375,87.6923076923077,0.0019011340000361088,3144
NearestNeighbor,Grid_99,Grid,64,7000.0,9.375,87.6923076923077,0.002134970000042813,3144
NearestNeighbor,Grid_99,Grid,64,7000.0,9.375,87.6923076923077,0.0021272359999784385,3144
NearestNeighbor,Grid_100,Grid,100,10800.0,8.0,90.0990099009901,0.005073983000329463,10544
NearestNeighbor,Grid_100,Grid,100,10800.0,8.0,90.0990099009901,0.005116219999763416,10544
NearestNeighbor,Grid_100,Grid,100,10800.0,8.0,90.0990099009901,0.004647671000384435,10544
NearestNeighbor,Grid_100,Grid,100,10800.0,8.0,90.0990099009901,0.00622581999959948,10544
NearestNeighbor,Grid_100,Grid,100,10800.0,8.0,90.0990099009901,0.004918387000543589,10544
NearestNeighbor,Grid_101,Grid,100,10800.0,8.0,90.0990099009901,0.004756027000439644,10544
NearestNeighbor,Grid_101,Grid,100,10800.0,8.0,90.0990099009901,0.004824538000320899,10544
NearestNeighbor,Grid_101,Grid,100,10800.0,8.0,90.0990099009901,0.004652879999412107,10544
NearestNeighbor,Grid_101,Grid,100,10800.0,8.0,90.0990099009901,0.0051483450006344356,10544
NearestNeighbor,Grid_101,Grid,100,10800.0,8.0,90.0990099009901,0.00561107700013963,10544
NearestNeighbor,Grid_102,Grid,100,10800.0,8.0,90.0990099009901,0.004771736999828136,10544
NearestNeighbor,Grid_102,Grid,100,10800.0,8.0,90.0990099009901,0.006797820000429056,10544
NearestNeighbor,Grid_102,Grid,100,10800.0,8.0,90.0990099009901,0.0057034150004255935,10544
NearestNeighbor,Grid_102,Grid,100,10800.0,8.0,90.0990099009901,0.004584810999403999,10544
NearestNeighbor,Grid_102,Grid,100,10800.0,8.0,90.0990099009901,0.004557078999823716,10544
NearestNeighbor,Grid_103,Grid,100,10800.0,8.0,90.0990099009901,0.004855868000049668,10544
NearestNeighbor,Grid_103,Grid,100,10800.0,8.0,90.0990099009901,0.004782809000062116,10544
NearestNeighbor,Grid_103,Grid,100,10800.0,8.0,90.0990099009901,0.005453312000099686,10544
NearestNeighbor,Grid_103,Grid,100,10800.0,8.0,90.0990099009901,0.00715741999920283,10544
NearestNeighbor,Grid_103,Grid,100,10800.0,8.0,90.0990099009901,0.004682116999902064,10544
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.0005380259999583359,272
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.0007579970006190706,272
